Session	Date	Start Time	End Time	Location	Track	Presentation Order	Session Title	Session ID on Underline	PID-old	PID	Title	Author	Length	Category	Oral(pref)
Session 6	2024-03-19	11:00	11:15	Marie Louise 1 (90)	Ethics and NLP	3	Multilingual Issues		462-Oral	462-Oral	Do Moral Judgment and Reasoning Capability of LLMs Change with Language? A Study using the Multilingual Defining Issues Test	Aditi Khandelwal, Utkarsh Agarwal, Kumar Tanmay, Monojit Choudhury	Long 12/2.5/.5	Oral	In Person
Session 6	2024-03-19	11:15	11:30	Marie Louise 1 (90)	Semantics: Lexical	4	Multilingual Issues		42-Oral	42-Oral	Injecting Wiktionary to improve token-level contextual representations using contrastive learning	Anna Mosolova, Marie Candito, Carlos Ramisch	Long 12/2.5/.5	Oral	In Person
Session 6	2024-03-19	11:30	11:45	Marie Louise 1 (90)	Semantics: Lexical	5	Multilingual Issues		220-Oral	220-Oral	Graph-based Clustering for Detecting Semantic Change Across Time and Languages	Xianghe Ma, Michael Strube, Wei Zhao	Long 12/2.5/.5	Oral	In Person
Session 6	2024-03-19	11:45	12:00	Marie Louise 1 (90)	Semantics: Lexical	6	Multilingual Issues		221-Oral	221-Oral	Translate to Disambiguate: Zero-shot Multilingual Word Sense Disambiguation with Pretrained Language Models	Haoqiang Kang, Terra Blevins, Luke Zettlemoyer	Long 12/2.5/.5	Oral	In Person
Session 6	2024-03-19	10:30	10:45	Marie Louise 2  (90)	NLP Applications	1	NLP Applications		80-Oral	80-Oral	NNOSE: Nearest Neighbor Occupational Skill Extraction	Mike Zhang, Rob van der Goot, Min-Yen Kan, Barbara Plank	Long 12/2.5/.5	Oral	In Person
Session 6	2024-03-19	10:45	11:00	Marie Louise 2  (90)	NLP Applications	2	NLP Applications		191-Oral	191-Oral	Generation, Distillation and Evaluation of Motivational Interviewing-Style Reflections with a Foundational Language Model	Andrew Brown, Jiading Zhu, Mohamed Abdelwahab, Alec Dong, Cindy Wang, Jonathan Rose	Long 12/2.5/.5	Oral	In Person
Session 6	2024-03-19	11:00	11:15	Marie Louise 2  (90)	NLP Applications	3	NLP Applications		308-Oral	308-Oral	Leveraging ChatGPT in Pharmacovigilance Event Extraction: An Empirical Study	Zhaoyue Sun, Gabriele Pergola, Byron C Wallace, Yulan He	Long 12/2.5/.5	Oral	In Person
Session 6	2024-03-19	11:15	11:30	Marie Louise 2  (90)	NLP Applications	4	NLP Applications		320-Oral	320-Oral	LegalLens: Leveraging LLMs for Legal Violation Identification in Unstructured Text	Dor Bernsohn, Gil Semo, Yaron Vazana, Gila Hayat, Ben Hagag, Joel Niklaus, Rohit Saha, Kyryl Truskovskyi	Long 12/2.5/.5	Oral	In Person
Session 6	2024-03-19	11:30	11:45	Marie Louise 2  (90)	NLP Applications	5	NLP Applications		345-Oral	345-Oral	Accurate and Well-Calibrated ICD Code Assignment Through Attention Over Diverse Label Embeddings	Goncalo Emanuel Cavaco Gomes, Isabel Pereira Coutinho, Bruno Martins	Long 12/2.5/.5	Oral	In Person
Session 6	2024-03-19	11:45	12:00	Marie Louise 2  (90)	NLP Applications	6	NLP Applications		411-Oral	411-Oral	Presentations by the Humans and For the Humans: Harnessing LLMs for Generating Persona-Aware Slides from Documents	Ishani Mondal, Shwetha S, Anandhavelu Natarajan, Aparna Garimella, Sambaran Bandyopadhyay, Jordan Lee Boyd-Graber	Long 12/2.5/.5	Oral	Unconfirmed
